,winery,country,MTE: winery
597,Harbison Wines,US,75.0
598,Ackerman,US,75.0
599,Mt. Brave,US,75.0
600,Galaxy,US,75.0
601,Eredi Lodali,Italy,75.0
602,Tenuta di Riseccoli,Italy,75.0
603,Boeschen Vineyards,US,75.0
604,Vinoce,US,75.0
605,Alion,Spain,75.0
606,Domaine Philippe Delesvaux,France,75.0
607,Bjorn,US,75.0
608,Foretell,US,75.0
609,Shannon,South Africa,75.0
610,Brady Family,US,75.0
611,The Treat,US,75.0
612,Il Paradiso di Frassina,Italy,75.0
613,Pahrump Valley Winery,US,75.0
614,Andrew Geoffrey,US,75.0
615,Troll Bridge,US,75.0
616,No Girls,US,75.0
617,Terroir Al Límit Soc. Lda.,Spain,75.0
618,Château du Moulin,France,75.0
619,Dyer,US,75.0
620,Nobility,US,75.0
621,Spottswoode,US,75.0
622,Brion,US,75.0
623,Dubost,US,75.0
624,Château Chauvin,France,75.0
625,Adrian Fog,US,75.0
626,AZS,US,75.0
627,Malatinszky,Hungary,75.0
628,Luce,Italy,75.0
629,Mirror,US,75.0
630,Dr. Loosen & J. Christopher,US,75.0
631,Hand of God,Argentina,75.0
632,Prêt a Boire,US,75.0
633,Casale Daviddi,Italy,75.0
634,Terra Incognita,Spain,75.0
635,Stephan Ridge,US,75.0
636,Phifer Pavitt,US,75.0
637,Wolf Family,US,75.0
638,Silver Stag,US,75.0
639,Matthew Daniel,US,75.0
640,Villa Hermosa Cellars,US,75.0
641,Château Clos Haut-Peyraguey,France,75.0
642,V Madrone,US,75.0
643,L'Aietta,Italy,75.0
644,Crichton Hall,US,75.0
645,Quinola,Spain,75.0
646,Raffaele Garbarino,US,75.0
647,Anthonij Rupert,South Africa,75.0
648,Creō,US,75.0
649,Jenkyn Place Vineyard,England,75.0
650,Crescendo,US,75.0
651,Alessandro Rivetto,Italy,75.0
652,Real Sitio de Ventosilla,Spain,75.0
653,Hawk and Horse Vineyards,US,75.0
654,Phelan Vineyard,US,75.0
655,Peter Michael Winery,US,74.92307692307692
656,Fratelli Alessandria,Italy,74.91666666666667
657,Kaesler,Australia,74.81818181818181
658,Paradiso di Frassina,Italy,74.75
659,Brogan,US,74.70588235294117
660,Duemani,Italy,74.60714285714286
661,Château de Beaucastel,France,74.57142857142857
662,World's End,US,74.42857142857143
663,Goldeneye,US,74.33962264150944
664,Domaine Georges Vernay,France,74.25
665,Cheval des Andes,Argentina,74.0
666,Eymann,Germany,74.0
667,No Limit,US,74.0
668,Rotllan Torra,Spain,73.8
669,Ambullneo,US,73.75
670,Monte Faustino,Italy,73.75
671,Pommery,France,73.6842105263158
672,Cullen,Australia,73.65
673,Picazo,US,73.63636363636364
674,Brovia,Italy,73.5
675,Ceretto,Italy,73.41666666666667
676,Hall,US,73.41463414634147
677,Dow's,Portugal,73.35714285714286
678,Jones Family,US,73.33333333333333
679,Vin Perdu,US,73.33333333333333
680,Enzo,US,73.33333333333333
681,Ciabot Berton,Italy,73.33333333333333
682,Domaine Christian Moreau Père et Fils,France,73.23529411764707
683,Matarromera,Spain,73.15789473684211
684,Quintarelli,Italy,73.0
685,Napa Angel by Montes,US,73.0
686,Podere Brizio,Italy,73.0
687,Oráculo,Spain,73.0
688,Pride Mountain,US,72.99056603773585
689,Masi,Italy,72.95744680851064
690,The Farm Winery,US,72.85714285714286
691,Luce della Vite,Italy,72.75
692,Baron Knyphausen,Germany,72.69444444444444
693,Boyanci,US,72.5
694,Napa Angel,US,72.5
695,Col Solare,US,72.5
696,Nanni Copè,Italy,72.5
697,Oakford,US,72.4
698,Parusso,Italy,72.33333333333333
699,Domaine de Bellene,France,72.26086956521739
700,Ferrer Bobet,Spain,72.25
701,Viberti,Italy,72.16666666666667
702,Felsina,Italy,72.0
703,Sine Qua Non,US,72.0
704,Match,US,72.0
705,Eleven Eleven,US,72.0
706,Von Strasser,US,71.98275862068967
707,Castell,Germany,71.8888888888889
708,San Filippo di Giannelli,Italy,71.66666666666667
709,Remírez de Ganuza,Spain,71.65
710,Albert Morot,France,71.58333333333333
711,Palazzo,Italy,71.55
